project_id,address,units,v2_status,v2_co_date,inspection_co_date,classification,delta_days,n_permits_with_inspections,n_permits_with_approved_final,multi_permit,per_permit,final_results_seen
752,1626 Tenth,1,Completed,2021-10-07,2021-10-07,agrees,0,1,1,0,B2018-01356=2021-10-07,Approved;Cancelled;Disapproved;Partially Approved;Rescheduled
643,2257 Glen,1,Completed,2020-08-21,2020-08-21,agrees,0,1,1,0,B2018-01529=2020-08-21,Approved;Cancelled;Disapproved;Partially Approved
592,2212 Tenth,1,Completed,2019-06-04,2019-06-04,agrees,0,1,1,0,B2018-01573=2019-06-04,Approved;Disapproved
565,2231 Oregon,1,Completed,2019-04-04,2019-04-04,agrees,0,1,1,0,B2018-01649=2019-04-04,Approved;Disapproved
543,1127 Blake St,1,Completed,2019-09-16,2019-09-16,agrees,0,1,1,0,B2018-01749=2019-09-16,Approved;Disapproved;Site Cancellation
596,1406 Mcgee Ave,1,Completed,2019-07-10,2019-07-10,agrees,0,1,1,0,B2018-01751=2019-07-10,Approved;Disapproved
712,59 The Plaza,1,Completed,2021-04-27,2021-04-27,agrees,0,1,1,0,B2018-01758=2021-04-27,Approved;Cancelled;Disapproved
550,2425 Oregon,1,Completed,2019-04-23,2019-04-23,agrees,0,1,1,0,B2018-01833=2019-04-23,Approved;Disapproved
542,2335 Sacramento,1,Completed,2019-12-10,2019-12-10,agrees,0,1,1,0,B2018-01872=2019-12-10,Approved;Disapproved;Partially Approved
557,2814 Webster,1,Completed,2019-04-22,2019-04-22,agrees,0,1,1,0,B2018-01917=2019-04-22,Approved;Disapproved
588,1430 Acton St,1,Completed,2019-10-21,2019-10-21,agrees,0,1,1,0,B2018-01961=2019-10-21,Approved
538,1330 Spruce St,1,Completed,2019-05-28,2019-05-28,agrees,0,1,1,0,B2018-02060=2019-05-28,Approved;Cancelled;Disapproved
534,1014 Mariposa Ave,1,Completed,2019-09-17,2019-09-17,agrees,0,1,1,0,B2018-02099=2019-09-17,Approved;Cancelled;Disapproved
582,826 Miramar,1,Completed,2019-07-11,2019-07-11,agrees,0,1,1,0,B2018-02161=2019-07-11,Approved
621,1234 Burnett St,1,Completed,2019-11-04,2019-11-04,agrees,0,1,1,0,B2018-02318=2019-11-04,Approved;Disapproved
704,2314 Ellsworth,1,Completed,2021-09-20,2021-09-20,agrees,0,1,1,0,B2018-02534=2021-09-20,Approved;Cancelled;Disapproved;Partially Approved;Site Cancellation
664,1767 Tacoma,1,Completed,2020-09-08,2020-09-08,agrees,0,1,1,0,B2018-03002=2020-09-08,Approved;Disapproved
879,2200 M L KING JR,1,Completed,2022-09-08,2022-09-08,agrees,0,1,1,0,B2018-03054=2022-09-08,Approved;Disapproved;Partially Approved
575,1724 Francisco St,1,Completed,2019-11-18,2019-11-18,agrees,0,1,1,0,B2018-03167=2019-11-18,Approved;Disapproved
681,2333 Rose,1,Completed,2020-03-16,2020-03-16,agrees,0,1,1,0,B2018-03242=2020-03-16,Approved;Disapproved;Partially Approved
590,2130 Derby,1,Completed,2019-09-05,2019-09-05,agrees,0,1,1,0,B2018-03289=2019-09-05,Approved;Disapproved
604,1157 Virginia St,1,Completed,2019-12-05,2019-12-05,agrees,0,1,1,0,B2018-03458=2019-12-05,Approved;Disapproved
627,2732 Claremont,1,Completed,2019-09-26,2019-09-26,agrees,0,1,1,0,B2018-03492=2019-09-26,Approved;Disapproved
654,1732 Beverly,1,Completed,2020-01-16,2020-01-16,agrees,0,1,1,0,B2018-03582=2020-01-16,Approved;Cancelled;Disapproved
599,1843 San Ramon,1,Completed,2019-12-11,2019-12-11,agrees,0,1,1,0,B2018-03583=2019-12-11,Approved;Disapproved
805,1325 Grizzly Peak,1,Completed,2021-05-17,2021-05-17,agrees,0,1,1,0,B2018-03587=2021-05-17,Approved
540,1642 Ashby,1,Completed,2019-07-09,2019-07-09,agrees,0,1,1,0,B2018-03725=2019-07-09,Approved;Cancelled;Disapproved
609,1461 Curtis,1,Completed,2019-08-22,2019-08-22,agrees,0,1,1,0,B2018-03893=2019-08-22,Approved;Disapproved
574,1710 Addison,1,Completed,2019-07-09,2019-07-09,agrees,0,1,1,0,B2018-03979=2019-07-09,Approved;Disapproved
556,2741 Webster,1,Completed,2019-12-06,2019-12-06,agrees,0,1,1,0,B2018-04005=2019-12-06,Approved;Disapproved;Rescheduled
549,2132 Curtis,1,Completed,2019-09-10,2019-09-10,agrees,0,1,1,0,B2018-04041=2019-09-10,Approved;Cancelled;Disapproved;Site Cancellation
685,2606 Shasta,1,Completed,2020-07-14,2020-07-14,agrees,0,1,1,0,B2018-04067=2020-07-14,Approved
569,1225 Derby,1,Completed,2019-06-04,2019-06-04,agrees,0,1,1,0,B2018-04312=2019-06-04,Approved;Partially Approved
