owner_class,owner_name,apn,apn_normalized,situs,usecode,zone_class,lot_sqft,lot_acres,bldg_sqft_taxable,imps,has_building,lat,lon
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1880-21-4,055-1880-021-04,2433 HASTE ST BERKELEY 94704,0300,C-T,9570.0,0.22,0.0,0.0,False,37.86617784,-122.25953450
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1873-15,055-1873-015-00,2411 BOWDITCH ST BERKELEY 94704,0300,R-SMU,7813.0,0.179,0.0,0.0,False,37.86669706,-122.25606332
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-3,058-2202-003-00,RIDGE RD BERKELEY 94709,0300,R-3H,7300.0,0.168,0.0,0.0,False,37.87620013,-122.25632978
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-4,058-2202-004-00,RIDGE RD BERKELEY 94709,0300,R-3H,7300.0,0.168,0.0,0.0,False,37.87628074,-122.25614226
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-8,058-2202-008-00,2705 HEARST AVE BERKELEY 94709,0300,R-3H,7232.0,0.166,0.0,0.0,False,37.87586680,-122.25631200
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1883-24-1,055-1883-024-01,2337 HASTE ST BERKELEY 94720,0300,R-SMU,6750.0,0.155,0.0,0.0,False,37.86599042,-122.26217158
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-9,058-2202-009-00,2701 HEARST AVE BERKELEY 94709,0300,R-3H,6457.0,0.148,0.0,0.0,False,37.87568021,-122.25659459
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1873-17,055-1873-017-00,2405 BOWDITCH ST BERKELEY 94704,0300,R-SMU,6115.0,0.14,0.0,0.0,False,37.86699545,-122.25611589
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1873-16,055-1873-016-00,2409 BOWDITCH ST BERKELEY 94704,0300,R-SMU,6073.0,0.139,0.0,0.0,False,37.86685002,-122.25609362
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1819-8-1,055-1819-008-01,2064 CARLETON ST BERKELEY 94720,0300,R-2A,5834.0,0.134,0.0,0.0,False,37.86063196,-122.26841957
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-10,058-2202-010-00,1863 LA LOMA AVE BERKELEY 94709,0300,R-3H,5775.0,0.133,7454.0,0.0,True,37.87587162,-122.25657543
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2034-3,057-2034-003-00,ADDISON ST BERKELEY 94704,0300,C-DMU Core,5520.0,0.127,0.0,0.0,False,37.87159832,-122.26685752
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-2,058-2202-002-00,RIDGE RD BERKELEY 94709,0300,R-3H,5360.0,0.123,0.0,0.0,False,37.87623162,-122.25649773
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-11,058-2202-011-00,1811 LA LOMA AVE BERKELEY 94709,0300,R-3H,5000.0,0.115,6714.0,0.0,True,37.87602403,-122.25652147
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2184-13,058-2184-013-00,2275 VIRGINIA ST BERKELEY 94709,0300,R-1,4500.0,0.103,1404.0,0.0,True,37.87793011,-122.26481960
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1873-18,055-1873-018-00,2550 CHANNING WAY BERKELEY 94720,0300,R-SMU,3896.0,0.089,0.0,0.0,False,37.86709791,-122.25622318
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-5,058-2202-005-00,1810 HIGHLAND PL BERKELEY 94709,0300,R-3H,3600.0,0.083,0.0,0.0,False,37.87637533,-122.25599722
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-6,058-2202-006-00,1816 HIGHLAND PL BERKELEY 94709,0300,R-3H,3600.0,0.083,0.0,0.0,False,37.87618008,-122.25595725
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,56-2005-79,056-2005-079-00,1601 ALLSTON WAY  76 BERKELEY 94703,0300,R-2,2166.0,0.05,12229.0,0.0,True,37.86885080,-122.27907398
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2034-4,057-2034-004-00,2123 ADDISON ST BERKELEY 94704,0300,C-DMU Core,1828.0,0.042,0.0,0.0,False,37.87158057,-122.26698497
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1873-19,055-1873-019-00,2612 CHANNING WAY BERKELEY 94720,0300,R-SMU,1658.0,0.038,0.0,0.0,False,37.86712337,-122.25602526
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2034-14-2,057-2034-014-02,2199 ADDISON ST BERKELEY 94720,0400,C-DMU Core,501.0,0.012,0.0,0.0,False,37.87167421,-122.26638449
