project_id,address_display,address_normalized,latitude,longitude,data_source,net_units,status,has_official_permit,has_media_coverage,news_urls,primary_news_source,gellerman_original_name,gellerman_match_score
95,2903 ADELINE St,2903 ADELINE ST,37.85636176695468,-122.26810249137816,both,0.0,Corrections Pending Applicant,True,True,https://www.berkeleyside.org/2020/02/14/housing-and-hotel-combo-among-new-buildings-proposed-in-south-berkeley,Berkeleyside,,87.0
96,2099 M L KING JR Way,2099 M L KING JR WAY,37.87089236766337,-122.27262600021216,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
97,1507 JOSEPHINE St,1507 JOSEPHINE ST,37.87915855930355,-122.2747148284878,official_permit,0.0,Corrections Pending Applicant,True,False,,,,
98,1338 SEVENTH St,1338 SEVENTH ST,37.87829060269934,-122.30017426312772,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
99,2238 SEVENTH St,2238 SEVENTH ST,37.86406379094866,-122.29561680785744,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
100,703 SANTA BARBARA Rd,703 SANTA BARBARA RD,37.8978365872887,-122.27149521081397,official_permit,0.0,Under Review,True,False,,,,
101,385 VERMONT Ave,385 VERMONT AV,37.9032943088105,-122.27469798687288,official_permit,0.0,In Review,True,False,,,,
102,1246 ROSE St,1246 ROSE ST,37.876466003476914,-122.28944818909082,official_permit,0.0,Corrections Pending Applicant,True,False,,,,
103,1512 CHANNING Way,1512 CHANNING WAY,37.86391660149408,-122.28080140591616,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
104,1475 CATHERINE Dr,1475 CATHERINE DR,37.87802083926939,-122.28400690207374,official_permit,0.0,On Hold,True,False,,,,
105,1187 SHATTUCK Ave,1187 SHATTUCK AV,37.88605280233432,-122.26971843750508,both,0.0,Pending Final Action,True,True,https://www.berkeleyside.org/2022/02/11/berkeley-housing-proposals-university-san-pablo-shattuck;https://sfyimby.com/2023/06/new-renderings-for-1752-shattuck-avenue-in-north-berkeley.html;https://sfyimby.com/2022/09/meeting-today-for-1752-shattuck-avenue-north-berkeley.html;https://sfyimby.com/2023/07/meeting-tomorrow-for-1752-shattuck-avenue-in-north-berkeley.html;https://www.dailycal.org/2022/02/17/berkeley-development-projects-in-the-works-offering-affordable-units,SFYimby,,85.0
106,2016 DELAWARE St A,2016 DELAWARE ST A,37.874311420657456,-122.27031238111309,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
107,1123 BLAKE St,1123 BLAKE ST,37.86066513987505,-122.28807356907674,official_permit,0.0,Under Review,True,False,,,,
