apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
060 244701600,BL-004662,RESTAURANT,Retail Trade,FATAPPLE'S INC,722110,R,7,Corporation,FATAPPLE'S INC,1346 M L KING JR WAY,BERKELEY,CA,94709,Business Owner,1346 M L KING JR WAY,BERKELEY,CA,94709
061 256101100,BL-017856,PRESCHOOL,Non Profit Organizations,CHILDREN COMMUNITY CENTER,624410 - Child Day Care Services,N,15,Corporation,CHILDREN COMMUNITY CENTER,1140 WALNUT ST,BERKELEY,CA,94707,Business Owner,1140 WALNUT ST,BERKELEY,CA,94707
055 188001502,BL-008808,COFFEE SHOP,Non Profit Organizations,1951 COFFEE COMPANY,722513 - Limited-Service Restaurants,N,14,Corporation,1951 COFFEE COMPANY,2407 DANA ST,BERKELEY,CA,947042207,Business Owner,2407 DANA St,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-019161,LAW FIRM,Professional SemiProfessional,VAN NESS FELDMAN LLP,541110 - Offices of Lawyers,P,162,LLP/LP,VAN NESS FELDMAN LLP,2000 Pennsylvania Ave. NW. Suite 6000,WASHINGTON,DC,200063837,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 191003300,BL-000973,RENTAL PROPERTY,Rental of Real Property,LUOH DAVID & REBECCA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,LUOH DAVID & REBECCA,5776 Vicente St,Oakland,CA,94609,Business Owner,2409 JEFFERSON Ave,BERKELEY,CA,94703
053 168900300,BL-023749,RESTAURANT,Retail Trade,BURMA BERKELEY,722511 - Full-Service Restaurants,R,10,LLC,BURMA BERKELEY,3234 OWL CREEK WAY,FOLSOM,CA,95630,Business Owner,2826 TELEGRAPH Ave,BERKELEY,CA,94705
059 234700100,BL-014623,WINE PRODUCTION,Manufacturing,TOSHOKAN LLC,312130 - Wineries,M,0,LLC,TOSHOKAN LLC,915 PARDEE ST,BERKELEY,CA,947102605,Business Owner,1350 FIFTH St,BERKELEY,CA,94710
053 165802301,BL-013439,CHINESE HERB MFG,Manufacturing,MAMA TONG SOUP,311919 - Other Snack Food Manufacturing,M,3,Sole Ownership,MAMA TONG SOUP,707 NORVELL ST,EL CERRITO,CA,94530-3245,Business Owner,2817 SEVENTH St,BERKELEY,CA,94710
059 234606800,BL-004902,FINE ART RETAILER,Retail Trade,SHOH LLC,453920 - Art Dealers,R,1,LLC,SHOH LLC,702 GILMAN ST,BERKELEY,CA,94710,Business Owner,700 GILMAN St,BERKELEY,CA,94710
052 156602400,BL-048626,MANAGEMENT CONSULTANT,Professional SemiProfessional,"RED HOUSE CONSULTING, LLC",561110 - Office Administrative Services,P,1,LLC,"RED HOUSE CONSULTING, LLC",2830 RUSSELL ST,BERKELEY,CA,94705,Business Owner,2830 RUSSELL ST,BERKELEY,CA,94705
ZZZZZZZZZZZZZ,BL-009450,BUS. EQUIP & FURNITURE,Wholesale Trade,NCR VOYIX CORPORATION,423210 - Furniture Merchant Wholesalers,W,1,Corporation,NCR VOYIX CORPORATION,864 SPRING ST NW,ATLANTA,GA,30308-1007,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-001707,JEWELRY CO,Retail Trade,BOMBAY JEWELRY COMPANY,448310 - Jewelry Stores,R,1,Corporation,BOMBAY JEWELRY COMPANY,PO BOX 2590,BERKELEY,CA,94702-0590,Business Owner,0 VARIOUS,BERKELEY,CA,94704
053 169903100,BL-019418,PSYCHOTHERAPY,Professional SemiProfessional,TSAI KE,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,TSAI KE,2724 GARBER ST UNIT B,BERKELEY,CA,947051313,Business Owner,2724 GARBER St,BERKELEY,CA,94705
056 196301506,BL-046338,RESTAURANT,Retail Trade,TOMATE CAFE INC,722211,R,11,Corporation,TOMATE CAFE INC,3784 MOSSWOOD DR,LAFAYETTE,CA,94549,Business Owner,2265 FIFTH ST,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-030571,ROOFING CONTRACTOR,Construction or Contractor,RIDOUT ROOFING COMPANY INC,238160 - Roofing Contractors,C,5,Corporation,RIDOUT ROOFING COMPANY INC,621 WILLIAMS ST,SAN LEANDRO,CA,94577,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-016133,RESIDENTIAL REMODEL,Construction or Contractor,LOOKFAR BUILDERS,236118 - Residential Remodelers,C,9,LLC,LOOKFAR BUILDERS,1704 LINDEN ST,OAKLAND,CA,94607,Business Owner,0 VARIOUS,BERKELEY,CA,94704
057 208801200,BL-007571,RESTAURANT,Retail Trade,KABANA RESTAURANT,722110,R,5,Sole Ownership,KABANA RESTAURANT,1025 UNIVERSITY AVE,BERKELEY,CA,947102134,Business Owner,1025 UNIVERSITY AVE,BERKELEY,CA,94710
062 287001702,BL-012931,COSMETOLOGIST,Business Personal Repair Svs,SOLANO HAIR DESIGN,812112 - Beauty Salons,B,0,Sole Ownership,SOLANO HAIR DESIGN,1547 SOLANO AVE,BERKELEY,CA,94707,Business Owner,1547 SOLANO AVE,BERKELEY,CA,94707
056 198100101,BL-048822,GAS STATION,Retail Trade,UNIVERSITY SHELL,447110 -Gasoline Stations with Convenience Stores,R,5,LLC,UNIVERSITY SHELL,1320 DECOTO RD STE 200,UNION CITY,CA,94587,Business Owner,1250 UNIVERSITY AVE,BERKELEY,CA,94702
057 203201700,BL-021614,RESTAURANT,Retail Trade,ZACT ENTERPRISE,722511 - Full-Service Restaurants,R,0,LLC,ZACT ENTERPRISE,2125 SHATTUCK AVE,BERKELEY,CA,94704,Business Owner,2125 SHATTUCK Ave,BERKELEY,CA,94704
