Row,Address,address_normalized,APN,Owner,Num_Permits,Permit_Numbers,Selected_Permit,old_units,new_units,net_unit_change,permit_year,Description,Record_Status,Selection_Method,Cumulative_Units
63,2641 COLLEGE Ave,2641 COLLEGE AVE,,,1,PLN2025-0061,PLN2025-0061,2.0,5.0,3.0,2025.0,"Demolish the existing garage in the rear of the lot and utilize SB 684/SB 1123 to subdivide the existing 5,400 square-feet R2A lot (APN# 055 184801800) into one 2,994 square-feet lot in the front with an existing duplex building, and one new 2,406 square-feet lot in the rear and construct a new 3,310 square feet, three-story (39 feet) residential building including three units.",Under Review,single_permit,3985.0
64,2655 SHATTUCK Ave,2655 SHATTUCK AVE,,,1,ZP2024-0057,ZP2024-0057,0.0,97.0,97.0,2024.0,"Demolish an existing 1-story commercial building to construct an 85-foot tall, 83,479 square foot, 8-story Mixed Use residential/commercial building.  Total of 97 units, with 10 VLI. 41 on-site automobile parking spaces and 48 on-site bicycle parking spaces.",Pending Final Action,single_permit,4082.0
65,2660 BANCROFT Way,2660 BANCROFT WAY,,,1,ZP2023-0095,ZP2023-0095,0.0,78.0,78.0,2023.0,"Construction of an 8-story residential development with 78 studio units in a 32,632 SF building.  This project will include 8 affordable units for VLI households. Does not have vehicle parking, only bicycle parking is provided with residential amenities and useable open space.  This is a State Density Bonus project.",Incomplete Pending Applicant,single_permit,4160.0
66,2680 BANCROFT Way,2680 BANCROFT WAY,,,1,ZP2023-0096,ZP2023-0096,0.0,37.0,37.0,2023.0,"Conversion of the Bancroft Hotel (17,466 SF) into a residential building, with 15 dwelling units and 22 Group Living Accommodation rooms for a total of 37 units.  This project will retain & rehabilitate the original facades of the historic building.",Incomplete Pending Applicant,single_permit,4197.0
67,2700 SHATTUCK Ave,2700 SHATTUCK AVE,,,1,ZP2024-0058,ZP2024-0058,0.0,276.0,276.0,2024.0,SB330 project to demolish an existing commercial structure and construct a eight-story mixed-use housing development with 276 dwelling units.,Corrections Pending Applicant,single_permit,4473.0
68,2705 BENVENUE Ave,2705 BENVENUE AVE,,,1,ZP2025-0086,ZP2025-0086,2.0,1.0,-1.0,2025.0,"Use Permit with Public Hearing to combine 2703 Benvenue Avenue Units A, B, and 2705 Benvenue Avenue using Berkeley Municipal Code, Title 23, Code Section23.326.040—Eliminating Dwelling Units through
Combination with Other Units, to create a single-family dwelling.",Incomplete Pending Applicant,single_permit,4472.0
69,2712 TELEGRAPH Ave,2712 TELEGRAPH AVE,,,1,ZP2025-0105,ZP2025-0105,0.0,57.0,57.0,2025.0,"Modification of Use Permit ZP2022-0179 for the demolition of two existing two-story commercial structures & construction, with the state of California density bonus, of a new 6-story residential building, with 50 residential units, 6 ADUs, 1 live-work unit, a ground level lobby, and 1 parking space.",Under Review,single_permit,4529.0
70,2720 SAN PABLO Ave,2720 SAN PABLO AVE,,,2,"ZP2023-0058, ZP2024-0076",ZP2024-0076,4.0,117.0,113.0,2024.0,"SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking for the construction of a new eight-story, 88'10"" in height, 117-unit mixed-use housing development with 49,465 sf of new residential space and 1,244 sf commercial space.  

10 units (15%) of the base project will be VLI household; 6 units (9%) will be moderate income household.
Entitled to 80% density bonus, waivers, and up to 4 concessions under the State Density Bonus Law.",In Review,max_units,4642.0
71,2733 SAN PABLO Ave,2733 SAN PABLO AVE,,,1,ZP2023-0090,ZP2023-0090,0.0,32.0,32.0,2023.0,Demolition of existing non-landmarked structures. Construction of a new 8-story mixed-use residential development with ground level lobbies and commercial spaces with a State of California Density.,In Review,single_permit,4674.0
72,2808 NINTH St,2808 NINTH ST,,,1,PLN2025-0083,PLN2025-0083,1.0,3.0,2.0,2025.0,"Middle Housing project to demolish an inhabitable single-family home and construct a two-story duplex with a detached two-story garage with a living unit, for a total of three living units.",Under Review,single_permit,4676.0
