key,lat,lon,type,units,source,addr,status
056-1915-032-00,37.86519676,-122.28218826,ADU,1,v4,,
061-2604-007-00,37.88804095,-122.27678111,ADU,1,v4,,
060-2397-019-00,37.87869356,-122.29394176,ADU,1,v4,,
053-1686-033-00,37.85760286,-122.26461697,ADU,1,v4,,
060-2405-018-00,37.88090444,-122.29521002,ADU,1,v4,,
055-1895-009-00,37.86589656,-122.26913015,ADU,1,v4,,
058-2135-003-00,37.87299789,-122.28771203,ADU,1,v4,,
059-2292-029-00,37.87463762,-122.28890463,ADU,1,v4,,
053-1619-026-00,37.8537611,-122.28112078,ADU,1,v4,,
052-1565-013-00,37.85859276,-122.24608487,ADU,1,v4,,
063-2984-019-00,37.88949851,-122.2552417,ADU,1,v4,,
060-2490-025-00,37.88221599,-122.24907594,ADU,1,v4,,
060-2434-017-00,37.88090136,-122.28264499,ADU,1,v4,,
054-1787-008-00,37.85821028,-122.2859228,ADU,1,v4,,
058-2155-015-00,37.87640588,-122.27990826,ADU,1,v4,,
052-1518-008-00,37.84781334,-122.28030825,ADU,1,v4,,
052-1566-030-00,37.85753074,-122.25002922,ADU,1,v4,,
058-2167-004-00,37.87542345,-122.2737469,ADU,1,v4,,
058-2181-018-00,37.87437231,-122.26577087,ADU,1,v4,,
062-2920-028-00,37.89594375,-122.27614835,ADU,1,v4,,
052-1571-016-00,37.85672417,-122.25718149,ADU,1,v4,,
060-2466-080-00,37.88284249,-122.26768702,ADU,1,v4,,
058-2183-003-00,37.87829482,-122.26596838,ADU,1,v4,,
053-1602-003-00,37.8538619,-122.27246459,ADU,1,v4,,
060-2409-051-00,37.88210129,-122.29143845,ADU,1,v4,,
060-2489-041-00,37.88359925,-122.24983987,ADU,1,v4,,
052-1567-052-00,37.85612528,-122.25101862,ADU,1,v4,,
054-1791-024-00,37.85966357,-122.28447323,ADU,1,v4,,
054-1785-022-00,37.85922749,-122.28789573,ADU,1,v4,,
056-1969-016-00,37.86426004,-122.29453205,ADU,1,v4,,
052-1563-101-00,37.85354857,-122.25130452,ADU,1,v4,,
062-2868-016-00,37.89494708,-122.28602971,ADU,1,v4,,
052-1563-104-00,37.85312965,-122.25100566,ADU,1,v4,,
059-2285-006-00,37.87868594,-122.28205183,ADU,1,v4,,
054-1787-005-00,37.85826274,-122.28551526,ADU,1,v4,,
059-2253-003-00,37.88283544,-122.26441706,ADU,1,v4,,
054-1709-035-00,37.86120173,-122.25377688,ADU,1,v4,,
056-1970-002-00,37.86522283,-122.2936958,ADU,1,v4,,
061-2562-007-00,37.8867954,-122.27159159,ADU,1,v4,,
060-2391-074-03,37.88044926,-122.28982201,ADU,1,v4,,
054-1783-017-00,37.86097679,-122.28515582,ADU,1,v4,,
057-2074-012-00,37.87091706,-122.28578232,ADU,1,v4,,
060-2435-041-00,37.88340156,-122.28139411,ADU,1,v4,,
052-1561-009-00,37.85499312,-122.25416502,ADU,1,v4,,
053-1606-026-00,37.85254653,-122.275291,ADU,1,v4,,
056-1936-005-00,37.86208784,-122.29271435,ADU,1,v4,,
058-2155-027-00,37.87676464,-122.27949138,ADU,1,v4,,
059-2251-005-00,37.8807502,-122.26279481,ADU,1,v4,,
055-1833-007-00,37.86230723,-122.26064377,ADU,1,v4,,
053-1626-018-00,37.8509848,-122.28502696,ADU,1,v4,,
054-1806-023-00,37.86231208,-122.27784969,ADU,1,v4,,
056-1933-021-00,37.86287379,-122.29099892,ADU,1,v4,,
060-2438-034-00,37.88106507,-122.2799077,ADU,1,v4,,
055-1913-059-00,37.86299784,-122.27973788,ADU,1,v4,,
056-1970-020-00,37.86518568,-122.29403924,ADU,1,v4,,
062-2923-005-00,37.90233141,-122.27713319,ADU,1,v4,,
055-1847-012-00,37.8645475,-122.25298992,ADU,1,v4,,
055-1904-033-00,37.86646708,-122.27442571,ADU,1,v4,,
060-2436-001-00,37.88446549,-122.28003245,ADU,1,v4,,
061-2559-015-00,37.88849511,-122.27048487,ADU,1,v4,,
053-1663-003-00,37.85484869,-122.28613635,ADU,1,v4,,
054-1727-010-00,37.85900867,-122.27241005,ADU,1,v4,,
060-2391-067-00,37.880348,-122.29011456,ADU,1,v4,,
062-2915-031-00,37.89860439,-122.27372938,ADU,1,v4,,
064-4237-009-00,37.85667103,-122.24469328,ADU,1,v4,,
059-2268-025-00,37.87845406,-122.27335752,ADU,1,v4,,
056-1942-020-00,37.86215725,-122.29662242,ADU,1,v4,,
055-1886-003-00,37.86751191,-122.26391979,ADU,1,v4,,
052-1528-021-00,37.84948338,-122.27012972,ADU,1,v4,,
056-1998-026-00,37.86597228,-122.28242656,ADU,1,v4,,
061-2602-027-00,37.8925256,-122.27761644,ADU,1,v4,,
055-1816-011-00,37.86197453,-122.27065066,ADU,1,v4,,
054-1800-028-00,37.8612247,-122.27917934,ADU,1,v4,,
052-1563-100-01,37.85377959,-122.25140013,ADU,1,v4,,
054-1780-011-00,37.860185,-122.29012642,ADU,1,v4,,
061-2558-010-00,37.88857794,-122.26840174,ADU,1,v4,,
055-1903-023-00,37.86391542,-122.27407653,ADU,1,v4,,
054-1702-089-00,37.86036765,-122.24644735,ADU,1,v4,,
054-1787-016-00,37.85851257,-122.28642348,ADU,1,v4,,
054-1787-010-00,37.85818501,-122.28623291,ADU,1,v4,,
060-2487-031-00,37.8841437,-122.24943548,ADU,1,v4,,
060-2489-026-00,37.8830251,-122.25004655,ADU,1,v4,,
060-2423-040-00,37.87895518,-122.28594092,ADU,1,v4,,
059-2255-019-00,37.87958064,-122.26544748,ADU,1,v4,,
056-2010-003-00,37.86976238,-122.27682161,ADU,1,v4,,
053-1673-012-00,37.85569983,-122.27578494,ADU,1,v4,,
059-2332-023-00,37.877908,-122.29584062,ADU,1,v4,,
062-2869-033-00,37.89414345,-122.28617066,ADU,1,v4,,
056-1931-018-00,37.86194411,-122.28618394,ADU,1,v4,,
053-1677-009-00,37.8576991,-122.27181022,ADU,1,v4,,
060-2423-049-00,37.87847303,-122.28711158,ADU,1,v4,,
061-2560-015-00,37.88690137,-122.27063871,ADU,1,v4,,
064-4247-017-00,37.85279348,-122.24774948,ADU,1,v4,,
054-1800-022-00,37.86112046,-122.27996706,ADU,1,v4,,
054-1787-023-00,37.85863878,-122.28545155,ADU,1,v4,,
054-1739-035-00,37.85808398,-122.28274533,ADU,1,v4,,
054-1718-012-00,37.86018405,-122.26331362,ADU,1,v4,,
062-2869-006-00,37.89417915,-122.28595349,ADU,1,v4,,
060-2408-005-00,37.88254158,-122.29309797,ADU,1,v4,,
053-1609-002-01,37.85531948,-122.27468399,ADU,1,v4,,
058-2124-031-00,37.87407902,-122.29696594,ADU,1,v4,,
055-1909-016-00,37.86493109,-122.27723405,ADU,1,v4,,
052-1559-013-00,37.85347774,-122.25766229,ADU,1,v4,,
061-2574-002-00,37.89016385,-122.27307865,ADU,1,v4,,
053-1602-008-00,37.85331227,-122.27240642,ADU,1,v4,,
060-2437-022-00,37.88364862,-122.27861325,ADU,1,v4,,
058-2151-018-01,37.87452901,-122.28181897,ADU,1,v4,,
058-2129-002-00,37.87315426,-122.29084738,ADU,1,v4,,
060-2435-017-00,37.88315762,-122.2809198,ADU,1,v4,,
060-2417-037-01,37.87943912,-122.28867128,ADU,1,v4,,
053-1608-023-00,37.85405426,-122.27669847,ADU,1,v4,,
061-2578-026-00,37.89161258,-122.27246659,ADU,1,v4,,
060-2489-034-00,37.88384195,-122.24917238,ADU,1,v4,,
057-2030-002-00,37.86918562,-122.26700375,ADU,1,v4,,
052-1563-168-00,37.85293238,-122.25010003,ADU,1,v4,,
052-1536-004-00,37.84918871,-122.27625853,ADU,1,v4,,
060-2409-009-02,37.88218798,-122.29205991,ADU,1,v4,,
052-1565-040-00,37.85827993,-122.24811033,ADU,1,v4,,
052-1536-011-00,37.8491695,-122.27744405,ADU,1,v4,,
062-2942-030-00,37.90143863,-122.27434401,ADU,1,v4,,
052-1528-022-00,37.84947763,-122.26998179,ADU,1,v4,,
054-1796-026-00,37.86169206,-122.28245942,ADU,1,v4,,
056-1987-028-00,37.86555916,-122.28840104,ADU,1,v4,,
061-2563-002-00,37.88984732,-122.27134114,ADU,1,v4,,
052-1582-002-00,37.85676815,-122.26448272,ADU,1,v4,,
056-1969-030-00,37.86468775,-122.29509545,ADU,1,v4,,
053-1604-012-00,37.85484922,-122.27357931,ADU,1,v4,,
056-1938-003-00,37.86351577,-122.29460411,ADU,1,v4,,
064-4295-012-00,37.85236045,-122.24782255,ADU,1,v4,,
052-1564-044-00,37.85557519,-122.25120397,ADU,1,v4,,
060-2391-038-00,37.87731758,-122.29099931,ADU,1,v4,,
057-2018-027-00,37.86800454,-122.27335846,ADU,1,v4,,
058-2123-019-00,37.87163011,-122.29617235,ADU,1,v4,,
060-2492-009-02,37.88283242,-122.24755099,ADU,1,v4,,
060-2403-022-00,37.87958559,-122.29422007,ADU,1,v4,,
059-2334-015-00,37.87734906,-122.29803715,ADU,1,v4,,
054-1792-026-00,37.85878464,-122.2841221,ADU,1,v4,,
057-2075-002-01,37.87156332,-122.28246132,ADU,1,v4,,
063-3140-002-04,37.89585385,-122.25481381,ADU,1,v4,,
055-1880-022-01,37.86652952,-122.25910993,ADU,1,v4,,
059-2288-035-00,37.87446558,-122.2925848,ADU,1,v4,,
061-2560-009-00,37.88727959,-122.27070209,ADU,1,v4,,
053-1679-022-00,37.85680824,-122.27049479,ADU,1,v4,,
059-2311-010-00,37.87528894,-122.29569218,ADU,1,v4,,
054-1739-025-00,37.85788213,-122.28410416,ADU,1,v4,,
057-2094-016-00,37.86978533,-122.29680579,ADU,1,v4,,
052-1563-071-00,37.8529608,-122.25188014,ADU,1,v4,,
054-1792-008-00,37.85855012,-122.28325779,ADU,1,v4,,
052-1438-029-00,37.84784861,-122.27669476,ADU,1,v4,,
064-4229-003-00,37.85551007,-122.23801836,ADU,1,v4,,
058-2246-038-00,37.88027754,-122.25930167,ADU,1,v4,,
053-1612-018-00,37.85265283,-122.27862922,ADU,1,v4,,
058-2155-017-01,37.87628906,-122.28021313,ADU,1,v4,,
060-2430-028-00,37.8801675,-122.28411994,ADU,1,v4,,
056-1938-019-03,37.86231639,-122.29393194,ADU,1,v4,,
054-1738-025-01,37.85639189,-122.28195995,ADU,1,v4,,
059-2256-007-00,37.88003183,-122.2662569,ADU,1,v4,,
061-2618-021-03,37.8869022,-122.2816465,ADU,1,v4,,
054-1779-010-00,37.85992777,-122.29064231,ADU,1,v4,,
061-2569-009-00,37.88631747,-122.27444145,ADU,1,v4,,
057-2095-013-02,37.86991916,-122.29797438,ADU,1,v4,,
052-1448-011-00,37.84762393,-122.28154685,ADU,1,v4,,
054-1708-005-00,37.86172834,-122.25180506,ADU,1,v4,,
064-4295-026-00,37.85250044,-122.24930613,ADU,1,v4,,
060-2409-008-00,37.88229916,-122.29209436,ADU,1,v4,,
057-2083-002-00,37.87054942,-122.28914894,ADU,1,v4,,
052-1582-004-00,37.85680336,-122.26416306,ADU,1,v4,,
059-2257-012-00,37.88141245,-122.26637965,ADU,1,v4,,
058-2141-010-00,37.87278266,-122.28611634,ADU,1,v4,,
052-1516-001-00,37.85135512,-122.28122358,ADU,1,v4,,
061-2576-007-00,37.89555541,-122.27646003,ADU,1,v4,,
052-1565-039-00,37.858163,-122.2480798,ADU,1,v4,,
056-1938-029-00,37.86303289,-122.29450932,ADU,1,v4,,
052-1564-022-00,37.85527797,-122.25054249,ADU,1,v4,,
053-1686-024-00,37.85744006,-122.2657601,ADU,1,v4,,
056-1941-021-00,37.86289741,-122.29563593,ADU,1,v4,,
063-3110-069-00,37.90068318,-122.26199034,ADU,1,v4,,
059-2292-033-00,37.87421128,-122.28908058,ADU,1,v4,,
056-1917-013-00,37.8643263,-122.28361561,ADU,1,v4,,
052-1364-002-00,37.84883905,-122.26872911,ADU,1,v4,,
052-1434-003-00,37.8464149,-122.27198493,ADU,1,v4,,
056-1989-003-00,37.86840708,-122.28777747,ADU,1,v4,,
063-2961-047-00,37.89563657,-122.26642177,ADU,1,v4,,
053-1669-026-00,37.85521637,-122.27983494,ADU,1,v4,,
061-2610-009-00,37.88811549,-122.2778248,ADU,1,v4,,
