GEOID20,pop,housing_units,ALAND20
060014219001000,178,99,52758
060014213004010,59,24,15878
060014218002010,36,11,4680
060014213003010,141,69,33770
060014213003009,70,38,19429
060014213003006,98,35,22593
060014213003015,0,0,1454
060014218002011,20,6,3611
060014218002005,135,58,23595
060014219002001,0,0,20725
060014219002018,35,10,4626
060014219002019,63,25,12066
060014219002020,70,29,12695
060014223001011,0,0,1539
060014222001012,70,31,20694
060014222001013,44,16,7825
060014218002012,45,25,13305
060014218002016,64,22,13749
060014223001005,77,37,20596
060014218002017,54,25,15862
060014218002006,63,27,12082
060014218002019,57,24,12181
060014218002020,42,19,9632
060014220002068,0,0,1717
060014220002060,80,45,14002
060014221002005,98,44,20159
060014221002010,0,0,21266
060014221002027,0,0,1194
060014220001015,212,137,22516
060014221002030,0,0,1269
060014220001013,22,1,80422
060014220001018,82,44,16620
060014220001014,7,1,60033
060014220001023,22,0,19036
060014220001024,75,27,19063
060014220001012,0,0,29892
060014221002011,109,49,19507
060014221002020,117,51,14242
060014221002031,0,0,1250
060014232001007,0,0,1071
060014221002018,63,45,9641
060014222003009,0,0,1900
060014232001003,0,0,1046
060014231001006,0,0,1219
060014211001008,101,51,35908
060014215002016,37,14,10188
060014215002000,44,18,10574
060014215001016,40,20,14830
060014215001013,27,10,8787
060014215001019,47,24,16351
060014215002006,54,34,31889
060014215002004,33,15,12405
060014215002015,82,47,41838
060014215003017,66,26,15148
060014215002019,34,11,21950
060014215003021,60,24,16010
060014215003002,58,29,23672
060014215003005,58,26,23234
060014215001012,77,40,36808
060014215001009,67,31,25092
060014222003012,105,80,10262
060014224002012,23,13,9598
060014239011013,0,0,2549
060019821001010,0,0,1763
060019821001002,0,0,1818
060014216001005,27,18,19314
060014237002015,15,2,7395
060014238001008,0,0,4458
060014224004006,481,283,17939
060014213003000,83,41,27169
060014230001012,103,36,20151
060014229011002,234,98,3327
060014233001006,102,60,18041
060014239011007,26,16,6888
060014229011004,444,227,17846
060014239011006,39,13,22779
060014239011014,103,44,18592
060019821001009,0,0,1334
060014224003002,159,86,20088
060014224004009,234,136,8919
060014224001002,115,61,17551
060014213004000,52,22,16693
060014217002009,131,72,20052
060014213003001,47,17,22596
060014220001035,16,2,16150
060014240021010,81,32,8990
060014215001026,0,0,2474
060014236012007,103,61,21971
060014239021000,0,0,2758
060014213004013,82,31,17020
060014222001023,71,41,15578
060014224002004,75,32,5212
060014213004003,41,18,16495
060014236022003,528,320,19975
060014236023010,74,29,10001
060014220001003,8,2,980208
060014220001005,74,53,369048
060014233001005,0,0,2006
060014220001041,0,0,9867
060014220001054,28,16,20755
060014220001055,37,30,21100
060014220001056,19,7,11852
060014220001071,0,0,10955
060014233001007,84,38,16421
060014233003005,0,0,3134
060014233003002,115,42,17502
060014233003003,86,43,17918
060014233003007,66,25,11325
060014230002005,152,70,20095
060014230002011,132,56,20188
060014234001005,0,0,1371
060014234001001,137,62,18915
060014234001008,127,70,19933
060014230002012,130,76,20349
060014230002009,94,40,11508
060014224002011,145,106,5548
060014224002014,0,0,2027
060014224002007,23,7,7774
060014229023001,18,2,22820
060014229023002,32,1,10984
060014229023004,419,181,21906
060014239022013,26,8,2828
060014239022006,74,48,11825
060014239022007,26,14,8757
060014239022009,69,30,10174
060014236011010,0,0,1069
060014236012003,159,72,20117
060014236012002,117,66,18574
060014239021005,133,64,32663
060014236011013,127,61,20341
060014236011014,142,58,18840
060014236012001,99,54,17355
060014237002009,93,57,13698
060014239021001,35,19,10114
060014239021003,162,81,21542
060014238003020,24,2,1963
060014239022015,74,34,13741
060014239022008,109,52,22327
060014219002004,37,17,7607
060014219002003,44,23,12034
060014222001008,62,25,11554
060014215001024,0,0,1788
060014215002022,115,47,40311
060014215001028,95,39,38374
060014216002002,192,88,107388
060014215001017,64,27,24123
060014216002000,60,28,18281
060014216004005,104,60,20056
060014216003013,85,42,27469
060014216003015,45,17,14812
060014216004004,89,37,21038
060014215003011,64,27,18446
060014215003019,19,0,62874
060014216004001,50,18,11524
060014216002005,128,69,63142
060014216004008,101,53,22398
060014225001010,48,24,16286
060014225001009,38,14,2765
060014225003005,406,251,42898
060014225001012,195,128,16904
060014225003002,47,30,4196
060014225001013,161,100,16092
060014225001004,19,11,6822
060014225003008,173,11,14336
060014225003012,111,92,6864
060014225001001,50,22,13801
060014216001002,85,37,25644
060014228003004,396,228,20847
060014225001003,21,4,2173
060014225001014,117,47,15131
060014225002008,152,13,13463
060014228004002,179,73,9944
060014228003001,69,74,11761
060014228003005,168,88,12891
060014228004000,135,69,20067
060014228004004,455,280,20300
060014236021001,328,215,20384
060014236023007,177,81,19893
060014236021004,289,213,20487
060014228002000,948,239,21113
060014236021000,329,172,19049
060014236023006,292,135,20624
060014228001000,111,58,20972
060014236022000,726,399,26457
060014228001008,11,8,6559
060014228001009,45,15,21064
060014236021007,0,0,1267
060014228001005,86,47,19538
060014236022001,312,127,20852
060014236023004,0,0,1067
060014236011009,0,0,1121
060014237003001,247,82,20254
060014237003002,205,128,20500
060014219004006,19,5,2333
060014219003002,210,94,38880
060014219001005,59,31,17708
060014219001009,0,0,1841
060014219001003,0,0,1505
060014220002004,0,0,14885
060014216001000,126,68,109708
060014219003014,0,0,1704
060014235002007,0,0,3156
060014236011003,0,0,1212
060014236023011,0,0,1087
060014239022010,0,0,1593
060014232001009,197,79,16764
060014232001018,0,0,1591
060014220001046,0,0,35561
060014220001042,30,12,9887
060014220002025,48,3,83608
060014233002003,63,34,16039
060014240022009,104,35,16040
060014235001009,179,68,20167
060014235003006,174,92,19201
060014224004000,93,69,19704
060014222003011,57,33,11248
060014212001005,22,4,1801
060014220002039,0,0,70473
060014220002063,19,11,5634
060014220002011,378,0,18821
060014221002028,0,0,1096
060014233001012,102,33,16188
060014220001067,0,0,1632
060014233002015,80,35,13774
060014213003007,0,0,4199
060014217003007,182,106,19510
060014223003008,148,80,18805
060014224002009,95,40,16969
060014222003013,140,85,20986
060014224002010,0,0,9527
060014217003002,129,63,18401
060014239011019,92,37,20730
060014223002017,102,46,18849
060014239022002,67,58,16138
060014219004012,76,36,16564
060014227001000,30,10,5113
060014220002048,0,0,14905
060014220001001,0,0,7456
060014224004005,0,0,1338
060014224001000,507,355,26567
060014224001003,15,1,1136
060014223003001,141,86,18568
060014230001001,249,94,20725
060014230001013,161,97,20116
060014230002004,112,67,20209
060014230003000,154,68,20187
060014230002003,137,67,20360
060014223003000,89,69,18445
060014223003011,0,0,2268
060014230001000,162,97,20389
060014224002003,87,39,10559
060014229021000,429,196,21499
060014230001015,160,90,19568
060014229021001,183,36,20309
060014229021002,87,1,20130
060014230002008,65,40,19512
060014230002007,107,47,20574
060014229021003,0,0,1667
060014230003012,129,73,20740
060014231004003,65,24,14682
060014222002007,98,44,16294
060014223002018,0,0,1474
060014222002008,61,50,15844
060014231001001,30,1,7967
060014223003005,0,0,1014
060014223002009,127,64,20342
060014223002016,55,32,20930
060014230001005,0,0,1222
060014230001006,0,0,3354
060014230001009,149,72,21830
060014230003002,107,50,19592
060014230001010,175,76,20167
060014230003001,113,54,20645
060014231003001,102,50,18197
060014231004002,74,33,14654
060014236011000,207,111,21877
060019821001000,0,0,6645
060014227002004,0,0,1336
060014227002000,389,19,9648
060014227002001,372,123,17903
060014227001002,27,13,12649
060014227002005,118,19,1224
060014237003003,146,54,20214
060014237001004,274,108,20342
060014237002003,65,32,29199
060014227002006,230,54,14977
060014227001001,58,32,21223
060014237002000,27,8,13423
060014237001010,0,0,1097
060014237002001,48,15,16475
060014236011007,131,60,20121
060014236012008,108,47,19740
060014235003014,89,46,13439
060014236012011,143,59,15641
060014236011005,120,58,20362
060014236011008,101,38,24893
060014236012005,66,32,10761
060014236012010,98,49,15622
060014239022005,119,55,23655
060014239022012,110,45,15188
060014227002003,36,0,2182
060014237002004,67,37,16514
060014239022011,99,64,16531
060014236011015,84,31,20735
060014213004012,69,25,14141
060014218002001,80,42,24707
060014223002007,0,0,2984
060014222003006,109,58,17068
060014231001012,334,229,60222
060014220002028,17,0,15106
060014220002045,0,0,1273
060014220002035,0,0,30226
060014220001000,96,0,129983
060014220002046,4,3,22439
060014220002034,0,0,12818
060014220002026,9,2,9382
060014220002044,29,18,17932
060014220002030,0,0,26370
060014220002040,0,0,18278
060014212003001,0,0,2360
060014217002002,43,24,16659
060014233003013,167,75,25896
060014212003002,54,23,30243
060014211001007,23,12,9005
060014231001000,253,74,12060
060014232001005,40,13,14081
060014220002061,81,42,19986
060014221001021,92,31,11825
060014220001045,0,0,41302
060014240021012,65,23,7350
060014221002013,138,62,19840
060014221002021,44,29,13821
060014221001009,73,27,11974
060014219003006,33,14,10521
060019821001001,351,69,755148
060014238003000,0,0,1060
060014235001001,16,0,5710
