placemark_index,name_raw,name_address,name_qualifier,matched_project_id,action,skip_reason,style_source,geometry_type_id,geometry_type_code,structure_id,structure_label,project_geometries_id,vertex_count,height_meters,confidence_code
67,2127 Dwight Way · 58 units · Entitled,2127 Dwight Way,,144,import,,parcel,1,apn_parcel,,,247,5,21.0,medium
68,2712 Telegraph Ave · 57 units · In Review,2712 Telegraph Ave,,31,import,,parcel,1,apn_parcel,,,248,5,21.0,medium
69,1740 San Pablo Ave · 54 units · In Review,1740 San Pablo Ave,,32,import,,parcel,1,apn_parcel,,,249,9,21.0,medium
70,2902 Adeline St · 54 units · Under Construction,2902 Adeline St,,143,import,,parcel,1,apn_parcel,,,250,12,21.0,medium
71,2587 Telegraph Ave · 52 units · Under Construction,2587 Telegraph Ave,,157,import,,parcel,1,apn_parcel,,,251,11,28.0,medium
72,130 Berkeley Sq · 50 units · In Review,130 Berkeley Sq,,33,import,,parcel,1,apn_parcel,,,252,5,24.5,medium
73,2016 Ashby Ave · 50 units · Permits Active,2016 Ashby Ave,,141,import,,parcel,1,apn_parcel,,,253,5,24.5,medium
74,2350 Telegraph Ave · 48 units · In Review,2350 Telegraph Ave,,142,import,,parcel,1,apn_parcel,,,254,5,28.0,medium
75,2727 Haste St · 45 units · In Review,2727 Haste St,,114,import,,parcel,1,apn_parcel,,,255,5,21.0,medium
76,2650 Telegraph Ave · 45 units · Completed,2650 Telegraph Ave,,172,import,,parcel,1,apn_parcel,,,256,7,17.5,medium
77,2435 San Pablo Ave · 40 units · In Review,2435 San Pablo Ave,,167,import,,synthetic,8,synthetic_polygon,,,257,5,17.5,low
