"apn","strnbr","strdirect","strname","strapart","strfract","bldsqfttaxable","lotsqft"
"058 214201300","1379",,"DELAWARE ST",,,"2139","4216"
"058 214201400","1377",,"DELAWARE ST",,,"1856","5576"
"058 214201500","1361",,"DELAWARE ST",,,"1425","4300"
"058 214201600","1785",,"FRANKLIN ST",,,"1510","4600"
"058 214201700","1775",,"FRANKLIN ST",,,"1510","4600"
"058 214201800","1737",,"FRANKLIN ST",,,"1045","3600"
"058 214202000","1397",,"DELAWARE ST",,,"1146","2500"
"058 214202100","1399",,"DELAWARE ST",,,"1517","2500"
"058 214202200","1399",,"DELAWARE ST","COM",,"0","0"
"058 214300100","1360",,"VIRGINIA ST",,,"1152","4000"
"058 214300200","1362",,"VIRGINIA ST",,,"1449","4107"
"058 214300300","1366",,"VIRGINIA ST",,,"1467","5838"
"058 214300400","1370",,"VIRGINIA ST",,,"1263","4218"
"058 214300500","1376",,"VIRGINIA ST",,,"1178","4218"
"058 214300601","1378",,"VIRGINIA ST",,,"2378","7280"
"058 214300602","1708",,"ACTON ST",,,"1163","5343"
"058 214300700","1712",,"ACTON ST",,,"1032","5145"
"058 214300800","1385",,"FRANCISCO ST",,,"1032","3737"
"058 214300900","1381",,"FRANCISCO ST",,,"1228","3700"
"058 214301000","1377",,"FRANCISCO ST",,,"1032","3737"
"058 214301100","1373",,"FRANCISCO ST",,,"1032","3737"
"058 214301200","1369",,"FRANCISCO ST",,,"1032","4750"
"058 214301300","1365",,"FRANCISCO ST",,,"1132","4500"
"058 214301400","1363",,"FRANCISCO ST",,,"3300","6000"
"058 214301500","1709",,"FRANKLIN ST",,,"982","6250"
"058 214400100","1364",,"CEDAR ST",,,"1068","3510"
"058 214400200","1368",,"CEDAR ST",,,"1068","3354"
"058 214400300","1372",,"CEDAR ST",,,"1044","3195"
"058 214400400","1376",,"CEDAR ST",,,"781","3900"
"058 214400500","1380",,"CEDAR ST",,,"812","3375"
"058 214400600","1384",,"CEDAR ST",,,"992","2394"
"058 214400700","1608",,"ACTON ST",,,"1300","4464"
"058 214400800","1612",,"ACTON ST",,,"976","3618"
"058 214400900","1614",,"ACTON ST",,,"4007","18636"
"058 214401000","1616",,"ACTON ST",,,"1767","4300"
"058 214401100","1618",,"ACTON ST",,,"1684","6800"
"058 214401200","1620",,"ACTON ST",,,"2069","8160"
"058 214401300","1624",,"ACTON ST",,,"2401","4200"
"058 214401400","1626",,"ACTON ST",,,"2153","3567"
"058 214401500","1628",,"ACTON ST",,,"1563","2450"
"058 214401602","1692",,"ACTON ST",,,"1530","6088"
"058 214402102","1387",,"VIRGINIA ST",,,"1204","3112"
"058 214402200","1385",,"VIRGINIA ST",,,"2263","3000"
"058 214402401","0",,"VIRGINIA ST",,,"0","68986"
"058 214402600","1627",,"FRANKLIN ST",,,"1862","10376"
"058 214402700","1615",,"FRANKLIN ST",,,"2006","9750"
