Date	Permit Number	Status	Address	Occupancy Class
04/27/2024	ESR-2024-01291	Closed Expired	2114 PARKER St, 1, BERKELEY CA 94704	R-2
04/24/2024	ESR-2024-01254	Closed Expired	1515 OXFORD St, 1C, BERKELEY CA 94709	R-2
04/24/2024	ESR-2024-01250	Closed Expired	2425 SHATTUCK Ave, BERKELEY CA 94704	R-2
04/23/2024	ESR-2024-01239	Closed Expired	2132 ROOSEVELT Ave, 2, BERKELEY CA 94703	R-2
04/22/2024	ESR-2024-01212	Closed Expired	2405 FULTON St, BERKELEY CA 94704	R-2
04/21/2024	24TMP-019288		1515 OXFORD St, 1C, BERKELEY CA 94709	R-2
04/19/2024	ESR-2024-01205	Closed Expired	1290 HOPKINS St, 31, BERKELEY CA 94702	R-2
04/19/2024	ESR-2024-01204	Closed Expired	1290 HOPKINS St, 31, BERKELEY CA 94702	R-2
04/19/2024	ESR-2024-01203	Closed Expired	2414 SACRAMENTO St, BERKELEY CA 94702	R-2
04/19/2024	ESR-2024-01199	Closed Expired	2451 BYRON St, BERKELEY CA 94702	R-2
04/16/2024	ESR-2024-01159	Closed Expired	2425 GRANT St, G, BERKELEY CA 94703	R-2
04/16/2024	ESR-2024-01155	Closed Expired	1426 SPRUCE St, BERKELEY CA 94709	R-2
04/10/2024	ESR-2024-01103	Closed Expired	2398 BANCROFT Way, BERKELEY CA 94704	R-2
04/08/2024	ESR-2024-01084	Closed Expired	2627 VIRGINIA St, BERKELEY CA 94709	R-2
04/05/2024	ESR-2024-01071	Closed Expired	2910 HILLEGASS Ave, 3, BERKELEY CA 94705	R-2
04/03/2024	ESR-2024-01020	Closed Expired	2132 ROOSEVELT Ave, 2, BERKELEY CA 94703	R-2
04/02/2024	ESR-2024-01003	Closed Expired	3113 SHATTUCK Ave, 4, BERKELEY CA 94704	R-2
04/02/2024	ESR-2024-01002	Closed Expired	3113 SHATTUCK Ave, 2, BERKELEY CA 94704	R-2
04/01/2024	ESR-2024-00959	Closed Expired	2123 RUSSELL St, BERKELEY CA 94705	R-2
03/27/2024	ESR-2024-00904	Closed Expired	2914 DEAKIN St, COM, BERKELEY CA 94705	R-2
03/26/2024	ESR-2024-00892	Closed Expired	1820 ACTON St, BERKELEY CA 94702	R-2
03/26/2024	ESR-2024-00878	Closed Expired	2609 SAN PABLO Ave, BERKELEY CA 94702	R-2
03/25/2024	ESR-2024-00865	Closed Expired	1290 HOPKINS St, 25, BERKELEY CA 94702	R-2
03/22/2024	ESR-2024-00852	Closed Expired	2447 BONAR St, BERKELEY CA 94702	R-2
03/22/2024	ESR-2024-00849	Closed Expired	2564 VIRGINIA St, BERKELEY CA 94709	R-2
03/20/2024	ESR-2024-00822	Closed Expired	2398 BANCROFT Way, BERKELEY CA 94704	R-2
03/20/2024	ESR-2024-00819	Closed Expired	1921 DELAWARE St, BERKELEY CA 94709	R-2
03/13/2024	ESR-2024-00757	Closed Expired	2715 CHANNING Way, BERKELEY CA 94704	R-2
03/11/2024	ESR-2024-00718	Closed Expired	2910 HILLEGASS Ave, 3, BERKELEY CA 94705	R-2
03/10/2024	ESR-2024-00714	Closed Expired	1757 OXFORD St, BERKELEY CA 94709	R-2
03/07/2024	ESR-2024-00697	Closed Expired	1813 SIXTY-THIRD St, BERKELEY CA 94703	R-2
03/07/2024	ESR-2024-00698	Closed Expired	1630 RUSSELL St, BERKELEY CA 94703	R-2
03/06/2024	ESR-2024-00676	Closed Expired	1912 WOOLSEY St, BERKELEY CA 94703	R-2
03/05/2024	ESR-2024-00656	Closed Expired	1588 HENRY St, 3, BERKELEY CA 94709	R-2
02/28/2024	ESR-2024-00613	Closed Expired	2336 PIEDMONT Ave, BERKELEY CA 94704	R-2
02/28/2024	ESR-2024-00600	Closed Expired	2405 FULTON St, BERKELEY CA 94704	R-2
02/26/2024	ESR-2024-00571	Closed Expired	1409 OXFORD St, COM, BERKELEY CA 94709	R-2
02/26/2024	ESR-2024-00562	Closed Expired	1434 SIXTH St, BERKELEY CA 94710	R-2
02/20/2024	24TMP-009428		2336 PIEDMONT Ave, BERKELEY CA 94704	R-2
02/16/2024	ESR-2024-00471	Closed Expired	2525 ASHBY Ave, 1, BERKELEY CA 94705	R-2
02/16/2024	24TMP-008645		2035 PARKER St, BERKELEY CA 94704	R-2
02/15/2024	ESR-2024-00449	Closed Expired	1921 DELAWARE St, BERKELEY CA 94709	R-2
02/15/2024	ESR-2024-00446	Closed Expired	1244 ASHBY Ave, BERKELEY CA 94702	R-2
02/12/2024	ESR-2024-00409	Closed Expired	2227 MCGEE Ave, BERKELEY CA 94703	R-2
02/07/2024	ESR-2024-00368	Closed Expired	1600 SIXTY-THIRD St, BERKELEY CA 94703	R-2
02/07/2024	ESR-2024-00367	Closed Expired	1600 SIXTY-THIRD St, BERKELEY CA 94703	R-2
02/07/2024	ESR-2024-00365	Closed Expired	1409 OXFORD St, COM, BERKELEY CA 94709	R-2
02/06/2024	24TMP-006682		3112 DEAKIN St, BERKELEY CA 94705	R-2
02/06/2024	24TMP-006666		2634 VIRGINIA St, 24, BERKELEY CA 94709	R-2
01/31/2024	ESR-2024-00291	Closed Expired	2729 DWIGHT Way, 302, BERKELEY CA 94704	R-2
01/30/2024	24TMP-005244		2160 ASHBY Ave, BERKELEY CA 94705	R-2
01/25/2024	ESR-2024-00222	Closed Expired	1338 SHATTUCK Ave, BERKELEY CA 94709	R-2
01/25/2024	24TMP-004493		2103 CALIFORNIA St, BERKELEY CA 94703	R-2
01/23/2024	ESR-2024-00199	Closed Expired	1619 WALNUT St, BERKELEY CA 94709	R-2
01/19/2024	ESR-2024-00170	Closed Expired	1616 PRINCE St, BERKELEY CA 94703	R-2
01/18/2024	ESR-2024-00167	Closed Expired	2137 DWIGHT Way, BERKELEY CA 94704	R-2
01/17/2024	ESR-2024-00157	Closed Expired	1921 DELAWARE St, BERKELEY CA 94709	R-2
01/13/2024	ESR-2024-00116	Closed Expired	1625 CEDAR St, BERKELEY CA 94703	R-2
01/10/2024	ESR-2024-00085	Closed Expired	2200 BROWNING St, BERKELEY CA 94702	R-2
01/05/2024	ESR-2024-00052	Closed Expired	2200 DWIGHT Way, BERKELEY CA 94704	R-2
01/04/2024	24TMP-000687		2323 SEVENTH St, BERKELEY CA 94710	R-2
01/03/2024	ESR-2024-00026	Closed Expired	2142 SACRAMENTO St, BERKELEY CA 94702	R-2
01/01/2024	ESR-2024-00002	Closed Expired	1809 TENTH St, BERKELEY CA 94710	R-2
